name,gender,origin,meaning
Aali,Male,Arabic,"Lofty, Enlightened"
Abbott,Male,English,Head Of A Monastery
Abiel,Male,Hebrew,God Is My Father
Aba,Male,Turkish,Father
Abba,Male,Hebrew,Father
Abie,Male,English,Father Of A Nation
Aarav,Male,Indian,Peaceful; Calm Sound
Aaron,Male,Hebrew,"Exalted, Strong"
Abay,Male,Turkish,Talented
Abelard,Male,French,Brave Abel
Admon,Male,Hebrew,Red
Admetus,Unisex,Greek,"Untamed, Untamable"
Adli,Male,Arabic,Honest
Adlai,Male,Hebrew,God Is Just
Aaryan,Male,Indian,Indo-European
Abel,Male,Hebrew,A Breath
Adler,Unisex,German,Eagle
Abbas,Male,Arabic,"Austere, Sober"
Abercrombie,Unisex,Scottish,Bend In Marshy Ground
Abhay,Male,Indian,Fearless
Aditya,Male,Indian,Descendant Of Aditi
Abhinav,Male,Indian,New; Special
Adil,Male,Arabic,"Fair, Honest"
Adish,Male,Persian,Fire
Adjo,Male,African,Righteous
Adiel,Unisex,Hebrew,God's Ornament
Adem,Male,American,Of The Earth
Adit,Male,Indian,From The Beginning
Aden,Male,Irish,Little Fire
Adelio,Male,Spanish,Noble
Addison,Unisex,English,Child Of Adam
Adjatay,Male,African,Prince
Adarsh,Male,Indian,An Ideal
Addae,Male,African,Morning Sun
Adeben,Male,African,12th Born Child
Adan,Male,Spanish,Of The Earth
Ade,Male,African,"Crown, Royal"
Adagio,Male,Italian,Slowly
Adahy,Male,Native American,Timber/Woods
Adam,Male,Hebrew,"Man, Of The Earth"
Acton,Male,English,From The Oak Tree Settlement
Achilles,Male,Greek,Pain
Acotas,Unisex,Native American,Group Of Horses
Ace,Male,Latin,One Or Expert
Abu,Male,African,Nobility
Absolom,Male,Hebrew,Father Is Peace
Acoose,Male,Native American,Standing Above Ground
Adair,Unisex,English,Noble Spear
Abner,Male,Hebrew,Father Of Light
Abraham,Male,Hebrew,Father Of Nations
Abiyram,Male,Hebrew,High Father
Abednego,Male,Arabic,Servant Of Nego
Abe,Male,English, Father Of Nations
Abram,Male,Hebrew,High Father
Abdulrahman,Male,Arabic,Servant Of The Most Gracious
Abdullah,Male,Arabic,Servant Of Allah
Abeeku,Male,African,Born On Wednesday
Acciai,Male,Italian,Axe Man
Abdiel,Male,Hebrew,Servant Of God
Abdulkareem,Male,Arabic,Servant Of The Most Generous
Abdalah,Male,Arabic,Servant Of Allah
Abdul,Male,Arabic,Servant Of
Abdukrahman,Male,Arabic,Servant Of The Most Gracious
Abcde,Unisex,American,First 5 Letters Of The English Alphabet
Achava,Unisex,Hebrew,Friendship
Abby,Unisex,English,Joy Of The Father
