age,avg_year,free_agency_year,fully_guaranteed,player,position,team,total_guaranteed,total_value
28,13300000,2023,"$30,000,000",Andrew Norwell,left-guard,Jaguars,30000000,66500000
30,11700000,2021,"$25,700,000",Kelechi Osemele,left-guard,Jets,25700000,58500000
31,11000000,2023,"$19,000,000",Rodger Saffold,left-guard,Titans,22500000,44000000
26,10825000,2024,"$10,117,351",Ali Marpet,left-guard,Buccaneers,26867351,54125000
28,10000000,2023,"$17,164,777",Joel Bitonio,left-guard,Browns,23664777,50000000
30,9000000,2021,"$18,650,000",Ronald Leary,left-guard,Broncos,24000000,36000000
28,7000000,2022,"$13,000,000",Zach Fulton,left-guard,Texans,13000000,28000000
28,7000000,2023,"$9,000,000",Billy Turner,left-guard,Packers,9000000,28000000
23,5972228,2022,"$23,888,912",Quenton Nelson,left-guard,Colts,23888912,23888912
26,5626000,2023,"$7,849,000",Isaac Seumalo,left-guard,Eagles,12649000,17627000
27,5625000,2023,"$4,000,000",Nick Easton,left-guard,Saints,4000000,22500000
27,5500000,2022,"$6,600,944",Laken Tomlinson,left-guard,49ers,11600944,16500000
30,5500000,2021,"$7,250,000",Lane Taylor,left-guard,Packers,7250000,16500000
30,5250000,2023,"$7,000,000",James Carpenter,left-guard,Falcons,9250000,21000000
30,5200000,2020,"$5,000,000",Clint Boling,left-guard,Bengals,5000000,26000000
33,4125000,2021,"$3,150,000",Ramon Foster,left-guard,Steelers,3150000,8250000
33,4000000,2020,"$1,000,000",Evan Smith,left-guard,Buccaneers,1000000,4000000
23,2945035,2022,"$11,780,138",Frank Ragnow,left-guard,Lions,11780138,11780138
26,11125000,2023,"$20,400,000",Mitch Morse,center,Bills,26500000,44500000
26,2848374,2020,"$11,393,496",Andrus Peat,left-guard,Saints,11393496,11393496
31,2750000,2022,"$2,450,000",Mike Person,left-guard,49ers,2700000,8250000
30,11000000,2022,"$12,000,000",Maurkice Pouncey,center,Steelers,15000000,22000000
32,2750000,2020,"$2,250,000",Mike Iupati,left-guard,Seahawks,2250000,2750000
28,22500000,2025,"$50,000,000",Aaron Donald,3-4-defensive-end,Rams,86892000,135000000
28,10500000,2022,"$22,000,000",Ryan Jensen,center,Buccaneers,22000000,42000000
27,10340600,2023,"$19,500,000",Brandon Linder,center,Jaguars,24000000,51703000
28,2050000,2020,"$200,000",Quinton Spain,left-guard,Bills,200000,2050000
28,2000000,2020,"$400,000",Max Garcia,left-guard,Cardinals,400000,2000000
30,16666667,2022,"$20,876,385",J.J. Watt,3-4-defensive-end,Texans,51876385,100000000
30,15100000,2023,"$22,000,000",Jurrell Casey,3-4-defensive-end,Titans,40000000,60400000
26,16500000,2023,"$36,250,000",Trent Brown,left-tackle,Raiders,36250000,66000000
28,9500000,2023,"$16,500,000",Weston Richburg,center,49ers,28500000,47500000
28,9400000,2024,"$18,162,822",Travis Frederick,center,Cowboys,28162822,56400000
24,1879599,2022,"$5,678,642",Austin Corbett,left-guard,Browns,5678642,7518394
27,21000000,2024,"$48,000,000",Demarcus Lawrence,defensive-line,Cowboys,65000000,105000000
26,20800000,2024,"$43,805,000",Frank Clark,defensive-line,Chiefs,62305000,104000000
26,12000000,2023,"$14,000,000",Stephon Tuitt,3-4-defensive-end,Steelers,14000000,60000000
30,12000000,2022,"$22,000,000",Akiem Hicks,3-4-defensive-end,Bears,30000000,48000000
28,16000000,2024,"$34,000,000",Taylor Lewan,left-tackle,Titans,50000000,80000000
31,15500000,2022,"$34,800,000",Nate Solder,left-tackle,Giants,34800000,62000000
30,9010000,2022,"$10,000,000",Matt Paradis,center,Panthers,12000000,27030000
25,10510000,2023,"$17,250,000",Eddie Goldman,3-4-defensive-tackle,Bears,25000000,42040000
22,3604590,2022,"$14,418,360",Da’Ron Payne,3-4-defensive-tackle,Redskins,14418360,14418360
30,1875000,2021,"$700,000",Eric Kush,left-guard,Browns,700000,3750000
24,1862685,2022,"$5,568,294",Will Hernandez,left-guard,Giants,5568294,7450740
22,1737539,2022,"$3,930,576",James Daniels,left-guard,Bears,3930576,6950156
29,1600000,2020,"$350,000",Kevin Pamphile,left-guard,Titans,350000,1600000
26,18000000,2024,"$50,000,000",Trey Flowers,defensive-line,Lions,56000000,90000000
29,17100000,2023,"$36,299,000",Fletcher Cox,defensive-line,Eagles,63299000,102600000
29,11083333,2020,"$18,146,000",Michael Brockers,3-4-defensive-end,Rams,24396000,33250000
30,10500000,2022,"$24,500,000",Brandon Williams,3-4-defensive-end,Ravens,27500000,52500000
27,14500000,2024,"$25,946,000",Jake Matthews,left-tackle,Falcons,41350000,72500000
26,13750000,2022,"$27,000,000",Donovan Smith,left-tackle,Buccaneers,27000000,41250000
34,9000000,2021,"$20,000,000",Alex Mack,center,Falcons,28500000,45000000
28,9000000,2021,"$5,891,399",Justin Britt,center,Seahawks,15991399,27000000
30,8900000,2020,"$12,650,000",Rodney Hudson,center,Raiders,20000000,44500000
0,3312012,2020,$0,Dexter Lawrence,3-4-defensive-tackle,Giants,0,13248048
27,3095000,2020,$0,Michael Pierce,3-4-defensive-tackle,Ravens,0,3095000
33,2500000,,"$750,000",Steve McLendon,3-4-defensive-tackle,Jets,2250000,2500000
0,1522647,2020,$0,Erik McCoy,left-guard,Saints,0,6090586
27,1487500,2021,"$500,000",Chris Reed,left-guard,Dolphins,500000,2975000
28,17000000,2024,"$19,750,000",Dee Ford,defensive-line,49ers,45000000,85000000
29,17000000,2021,"$40,000,000",Olivier Vernon,defensive-line,Browns,52500000,85000000
30,10456200,2021,"$16,000,000",Cameron Heyward,3-4-defensive-end,Steelers,16000000,52281000
30,10250000,2020,"$12,000,000",Mike Daniels,3-4-defensive-end,Packers,12000000,41000000
29,9175000,2020,"$12,000,000",Derek Wolfe,3-4-defensive-end,Broncos,17500000,36700000
31,13250000,2021,"$25,000,000",Russell Okung,left-tackle,Chargers,25000000,53000000
31,13200000,2021,"$30,000,000",Trent Williams,left-tackle,Redskins,41250000,66000000
28,13000000,2022,"$20,880,000",Terron Armstead,left-tackle,Saints,38000000,65000000
31,16300000,2023,"$17,000,000",Geno Atkins,interior-defensive-line,Bengals,17000000,65200000
30,16100000,2022,"$35,000,000",Kawann Short,interior-defensive-line,Panthers,45000000,80500000
26,15209000,2020,$0,Grady Jarrett,interior-defensive-line,Falcons,0,15209000
28,8500000,2021,"$8,000,000",Corey Linsley,center,Packers,8000000,25500000
32,8166667,2022,"$10,500,000",Jason Kelce,center,Eagles,19000000,24500000
24,2340411,2021,"$7,635,055",Kenny Clark,3-4-defensive-tackle,Packers,7635055,9361642
30,1415557,2020,"$3,475,358",Austin Johnson,3-4-defensive-tackle,Titans,3475358,5662228
27,1375000,2021,"$250,000",Daniel McCullers,3-4-defensive-tackle,Steelers,250000,2750000
22,1372249,2022,"$3,281,496",Connor Williams,left-guard,Cowboys,3281496,5488996
32,1166667,2020,"$250,000",Vladimir Ducasse,left-guard,Bills,250000,3500000
29,16500000,2022,"$31,000,000",Chandler Jones,defensive-line,Cardinals,53000000,82500000
28,8400000,2022,"$17,000,000",Henry Anderson,3-4-defensive-end,Jets,17000000,25200000
0,8132345,2020,$0,Quinnen Williams,3-4-defensive-end,Jets,0,32529380
25,7250000,2023,"$11,225,000",Matthew Ioannidis,3-4-defensive-end,Redskins,14000000,21750000
25,14375000,2024,"$21,950,000",Todd Gurley,running-back,Rams,45000000,57500000
29,12200000,2024,"$22,118,013",Tyron Smith,left-tackle,Cowboys,40000000,97600000
28,12000000,2021,"$16,000,000",David Bakhtiari,left-tackle,Packers,16000000,48000000
29,14042500,2021,"$7,835,000",Marcell Dareus,interior-defensive-line,Jaguars,7835000,28085000
31,13600000,2022,"$14,757,308",Gerald McCoy,interior-defensive-line,Buccaneers,51500000,95200000
27,18000000,2024,"$40,959,000","Odell Beckham, Jr.",wide-receiver,Browns,65000000,90000000
30,7500000,2020,"$10,000,000",Mike Pouncey,center,Chargers,10000000,15000000
28,5583333,2020,"$6,500,000",J.C. Tretter,center,Browns,10000000,16750000
30,4375000,2020,"$7,500,000",Ben Jones,center,Titans,7500000,17500000
29,14000000,2025,"$32,000,000",Zack Martin,right-guard,Cowboys,40000000,84000000
25,967595,2020,"$215,380",D.J. Reader,3-4-defensive-tackle,Texans,215380,3870380
26,778564,2020,"$693,256",Javon Hargrave,3-4-defensive-tackle,Steelers,693256,3114256
0,704820,2023,"$299,280",Daylon Mack,3-4-defensive-tackle,Ravens,299280,2819280
24,1102259,2021,"$2,410,438",Ethan Pocic,left-guard,Seahawks,2410438,4409034
32,1020000,2020,"$90,000",Ted Larsen,left-guard,Bears,90000,1020000
33,10000000,2021,"$11,000,000",Jimmy Graham,tight-end,Packers,11000000,30000000
28,7000000,2021,"$14,000,000",DaQuan Jones,3-4-defensive-end,Titans,14000000,21000000
25,4657717,2020,"$18,630,868",Leonard Williams,3-4-defensive-end,Jets,18630868,18630868
27,12750000,2023,"$27,000,000",Ja’Wuan James,right-tackle,Broncos,32000000,51000000
27,13125000,2023,"$27,000,000",Le’Veon Bell,running-back,Jets,35000000,52500000
28,13000000,2022,"$24,682,500",David Johnson,running-back,Cardinals,31882500,39000000
27,8250000,2023,"$18,297,000",Devonta Freeman,running-back,Falcons,22047000,41250000
28,12000000,2022,"$22,000,000",Eric Fisher,left-tackle,Chiefs,40000000,48000000
30,12000000,2021,"$26,500,000",Cordy Glenn,left-tackle,Bengals,38000000,60000000
31,11750000,2022,"$26,300,000",Riley Reiff,left-tackle,Vikings,26300000,58750000
28,5250000,2021,"$7,000,000",Kyle Juszczyk,fullback,49ers,9750000,21000000
31,12500000,2023,"$11,150,000",Linval Joseph,interior-defensive-line,Vikings,31500000,50000000
29,12333333,2022,"$15,000,000",Sheldon Richardson,interior-defensive-line,Browns,21500000,37000000
31,16708333,2022,"$30,125,000",Antonio Brown,wide-receiver,Raiders,30125000,50125000
26,16500000,2024,"$38,258,000",Mike Evans,wide-receiver,Buccaneers,55008000,82500000
27,16200000,2023,"$36,500,000",DeAndre Hopkins,wide-receiver,Texans,49000000,81000000
29,4200000,2022,"$1,200,000",Spencer Long,center,Bills,1200000,12600000
27,4139609,2021,"$5,000,000",Cameron Erving,center,Chiefs,6450000,8279218
29,12000000,2022,"$23,000,000",Kevin Zeitler,right-guard,Giants,31500000,60000000
26,11250000,2022,"$15,797,000",Trai Turner,right-guard,Panthers,20500000,45000000
28,11000000,2023,"$16,500,000",Gabe Jackson,right-guard,Raiders,25750000,55000000
26,690000,2021,$0,Kyle Peko,3-4-defensive-tackle,Bills,0,1380000
26,690000,2021,$0,Joey Mbu,3-4-defensive-tackle,Dolphins,0,1380000
25,932908,2021,"$924,632",Dan Feeney,left-guard,Chargers,924632,3731632
29,920000,2020,"$175,000",Bryan Witzmann,left-guard,Browns,175000,920000
30,16000000,2021,"$34,000,000",Melvin Ingram,defensive-line,Chargers,42000000,64000000
30,9368400,2022,"$10,517,000",Travis Kelce,tight-end,Chiefs,20017000,46842000
29,9350000,2022,"$14,000,000",Jordan Reed,tight-end,Redskins,22000000,46750000
27,4000000,2022,"$3,500,000",Angelo Blackson,3-4-defensive-end,Texans,3500000,12000000
0,3165938,2020,$0,Jeffery Simmons,3-4-defensive-end,Titans,0,12663750
29,11250000,2022,"$20,862,242",Lane Johnson,right-tackle,Eagles,35500000,56250000
30,9500000,2022,"$17,500,000",Ricky Wagner,right-tackle,Lions,29500000,47500000
26,8125000,2023,"$9,976,365",Rob Havenstein,right-tackle,Rams,16226365,32500000
31,8010000,2020,"$18,250,000",LeSean McCoy,running-back,Bills,26050000,40050000
22,7798688,2022,"$31,194,750",Saquon Barkley,running-back,Giants,31194750,31194750
27,7500000,2022,"$11,700,000",Jerick McKinnon,running-back,49ers,18000000,30000000
34,11500000,2022,"$14,250,000",Duane Brown,left-tackle,Seahawks,16000000,34500000
38,11250000,2020,"$15,000,000",Andrew Whitworth,left-tackle,Rams,15000000,33750000
30,2100000,2021,"$3,300,000",Patrick DiMarco,fullback,Bills,4800000,8400000
30,1800000,2022,"$2,800,000",Jamize Olawale,fullback,Cowboys,2800000,5400000
31,1800000,2021,"$600,000",James Develin,fullback,Patriots,600000,3600000
26,16200000,2024,"$20,459,000",Brandin Cooks,wide-receiver,Rams,50459000,81000000
29,16200000,2025,"$14,105,000",Adam Thielen,wide-receiver,Vikings,33000000,64800000
26,16000000,2021,"$30,000,000",Sammy Watkins,wide-receiver,Chiefs,30000000,48000000
32,3925000,2021,"$4,825,000",Daniel Kilgore,center,Dolphins,7050000,11750000
0,3220718,2020,$0,Garrett Bradbury,center,Vikings,0,12882870
28,3095000,2020,$0,B.J. Finney,center,Steelers,0,3095000
29,10000000,2022,"$16,000,000",David DeCastro,right-guard,Steelers,16000000,50000000
35,10000000,2021,"$10,000,000",Marshal Yanda,right-guard,Ravens,10000000,10000000
29,9005000,2023,"$13,000,000",Justin Pugh,right-guard,Cardinals,18750000,45025000
22,682011,2022,"$268,044",Tim Settle,3-4-defensive-tackle,Redskins,268044,2728044
24,653809,2022,"$155,236",Sebastian Joseph,3-4-defensive-tackle,Rams,155236,2615236
28,895000,2020,"$45,000",Dakota Dozier,left-guard,Vikings,45000,895000
28,895000,2020,$0,Brian Schwenke,left-guard,Patriots,0,895000
29,830000,2020,"$100,000",Greg Van Roten,left-guard,Panthers,100000,1660000
30,15000000,2021,"$29,000,000",Jason Pierre-Paul,defensive-line,Buccaneers,40000000,62000000
33,15000000,2021,"$30,000,000",Calais Campbell,defensive-line,Jaguars,30000000,60000000
32,14500000,2023,"$18,800,000",Everson Griffen,defensive-line,Vikings,34000000,58000000
34,8550000,2021,"$12,115,000",Greg Olsen,tight-end,Panthers,12115000,17100000
29,8500000,2022,"$13,318,527",Zach Ertz,tight-end,Eagles,20000000,42500000
35,8500000,2021,"$10,570,000",Delanie Walker,tight-end,Titans,12760000,17000000
