age,avg_year,free_agency_year,fully_guaranteed,player,position,team,total_guaranteed,total_value
31,35000000,2024,70000000,Russell Wilson,quarterback,Seahawks,107000000,140000000
37,34000000,2022,37500000,Ben Roethlisberger,quarterback,Steelers,50000000,68000000
36,33500000,2024,78700000,Aaron Rodgers,quarterback,Packers,98200000,134000000
29,14000000,2025,32000000,Zack Martin,right-guard,Cowboys,40000000,84000000
26,11125000,2023,20400000,Mitch Morse,center,Bills,26500000,44500000
34,30000000,2024,94500000,Matt Ryan,quarterback,Falcons,100000000,150000000
31,28000000,2021,84000000,Kirk Cousins,quarterback,Vikings,84000000,84000000
29,12000000,2022,23000000,Kevin Zeitler,right-guard,Giants,31500000,60000000
26,11250000,2022,15797000,Trai Turner,right-guard,Panthers,20500000,45000000
30,11000000,2022,12000000,Maurkice Pouncey,center,Steelers,15000000,22000000
28,10500000,2022,22000000,Ryan Jensen,center,Buccaneers,22000000,42000000
28,27500000,2023,48700000,Jimmy Garoppolo,quarterback,49ers,74100000,137500000
31,27000000,2023,60500000,Matt Stafford,quarterback,Lions,92000000,135000000
28,25005000,2023,40000000,Derek Carr,quarterback,Raiders,70200000,125025000
28,13300000,2023,30000000,Andrew Norwell,left-guard,Jaguars,30000000,66500000
33,10000000,2021,11000000,Jimmy Graham,tight-end,Packers,11000000,30000000
28,11000000,2023,16500000,Gabe Jackson,right-guard,Raiders,25750000,55000000
29,10000000,2022,16000000,David DeCastro,right-guard,Steelers,16000000,50000000
27,18000000,2024,40959000,"Odell Beckham, Jr.",wide-receiver,Browns,65000000,90000000
27,10340600,2023,19500000,Brandon Linder,center,Jaguars,24000000,51703000
28,9500000,2023,16500000,Weston Richburg,center,49ers,28500000,47500000
40,25000000,2020,27000000,Drew Brees,quarterback,Saints,27000000,50000000
30,24594000,2022,47000000,Andrew Luck,quarterback,Colts,87000000,122970000
35,23500000,2023,55000000,Alex Smith,quarterback,Redskins,71000000,94000000
30,11700000,2021,25700000,Kelechi Osemele,left-guard,Jets,25700000,58500000
31,11000000,2023,19000000,Rodger Saffold,left-guard,Titans,22500000,44000000
30,9368400,2022,10517000,Travis Kelce,tight-end,Chiefs,20017000,46842000
